time,f_aligned
6301.46,881.3270543992112
6301.56,883.6532125217449
6301.66,876.0970715670894
6301.76,875.2605326415672
6301.86,861.1306521080294
6301.96,1070.2607159005697
6302.07,1121.9924242168483
6302.17,1169.2749890423552
6302.27,905.2590789381788
6302.37,1165.7126575618881
6302.47,1110.4685580021767
6302.57,973.2008810181804
6302.67,1431.8075988064877
6302.77,855.5086206462212
6302.87,1332.4713880605466
6302.97,1113.724382421432
6303.07,998.1763371268626
6303.18,1168.7844112581242
6303.28,1070.0939211116004
6303.38,961.9074799584417
6303.48,1182.92349710368
6303.58,1143.2779120050739
6303.68,1058.59826894538
6303.78,1203.1583436937965
6303.88,887.0430232088713
6303.98,1117.5482092509476
6304.08,1094.4670289201715
6304.18,936.1052291275805
6304.28,899.5081989620772
6304.39,896.2371337988624
6304.49,855.747042063249
6304.59,891.3388805611478
6304.69,1268.0039432115343
6304.79,1020.9990205676007
6304.89,1001.0189808390248
6304.99,1139.7170701538166
6305.09,1004.7870421138999
6305.19,809.4949042458513
6305.29,1227.1906942280812
6305.39,959.8218584716645
6305.49,883.8902646822172
6305.6,1219.305129981827
6305.7,870.2528368238738
6305.8,986.4339815720057
6305.9,1288.8168993305449
6306.0,906.7982134962551
6306.1,1224.7452796398115
6306.2,1257.054095892456
6306.3,986.0557793553061
6306.4,769.6934454703379
6306.5,857.3196603367965
6306.6,1272.7933846465419
6306.71,1332.1430103408568
6306.81,862.4888405075163
6306.91,1179.1407888797673
6307.01,1225.0424482441415
6307.11,830.4619196567655
6307.21,1317.9032589685785
6307.31,943.7801650808307
6307.41,1008.4006020659638
6307.51,1318.0679041688254
6307.61,781.2835592792159
6307.71,1128.7789863387784
6307.81,1239.3764561262249
6307.92,939.9414875405809
6308.02,1294.7235226101363
6308.12,951.2528580771781
6308.22,925.4728521139883
6308.32,1299.83883616393
6308.42,932.0209225119359
6308.52,1151.1303140826412
6308.62,1163.8960434678004
6308.72,859.5335944569008
6308.82,1094.0338203181839
6308.92,1184.4500833720263
6309.02,925.760228136854
6309.13,772.7949275195846
6309.23,876.5665975840056
6309.33,877.2103510561193
6309.43,895.3853918844109
6309.53,880.6900703425695
6309.63,1234.3220811441397
6309.73,1301.3635020677073
6309.83,869.6004692038391
6309.93,1248.6508719413926
6310.03,1113.3450650631762
6310.13,759.8256378933262
6310.24,1300.5329676713313
6310.34,1193.0737613408485
6310.44,806.105452158711
6310.54,1336.1040378653154
6310.64,1174.3291702073998
6310.74,1258.5038736531565
6310.84,1390.4247552456768
6310.94,879.1416268156115
