jmag,angular_vel_mag,Environment
32.23868254,0.311301155,Corridor
25.79377997,0.093254665,Corridor
16.82384619,0.180131191,Corridor
12.9125409,0.033601981,Corridor
23.35319253,0.083767935,Corridor
12.68519315,0.127928774,Corridor
7.905432613,0.183326625,Corridor
28.2373691,0.15183895,Corridor
26.18320287,0.0568683,Corridor
24.46613123,0.177301906,Corridor
17.08183092,0.171498829,Corridor
37.76695737,0.158621819,Corridor
13.1114599,0.168156224,Corridor
23.61137744,0.190573005,Corridor
17.69452283,0.077085797,Corridor
8.913737087,0.147505132,Corridor
12.56854235,0.062076465,Corridor
10.25955585,0.119579094,Corridor
26.01006915,0.23535027,Corridor
3.33927864,0.077940648,Corridor
12.80853895,0.068063638,Corridor
