T_HIP,T_THIGH,T_CALF,Environment,time,footforce,d_footforce_dt,environment
0.0027545699465222834,0.020730623741171135,0.005079774445739982,Parking,5300.11,1372.6448921698577,-1331.0890427731006,Parking
0.0018450533862391769,0.00370818003350543,0.0003864943420938548,Parking,5300.21,1080.451294598697,-1321.3943768378572,Parking
0.0011636707553128163,0.008181176573613308,0.0020024891502766306,Parking,5300.32,1040.8141044394047,-1277.3392364060576,Parking
0.0016020402014294453,0.011358844774362012,0.0027806816902481274,Parking,5300.42,1185.2497627082657,-1206.297469275738,Parking
0.000729470016079859,0.007787813689315492,0.0019068718071718707,Parking,5300.52,1080.9204411056348,-1100.986978919175,Parking
0.0013088564920688973,0.011061662148145909,0.0027025270010449325,Parking,5300.62,901.7926590963135,-977.6851059641886,Parking
0.0005070684882284049,0.0026681101791970916,0.000621656330951102,Parking,5300.72,1224.4382385404338,-849.6486445259651,Parking
0.0004950104639924791,0.00357648382465514,0.0008772077133216566,Parking,5300.82,1307.092192616879,-733.094653954033,Parking
0.0008812033380187535,0.005003847827050676,0.0011958562695979242,Parking,5300.92,1083.2225071516932,-634.8836881113149,Parking
0.0006722557270767219,0.0019232276888347824,0.0003677986081816972,Parking,5301.02,1000.9290684159392,-567.7732444997395,Parking
0.001324572114266387,0.015921581563120835,0.0039103509165525786,Parking,5301.12,1013.4776761231597,-542.7729345720992,Parking
0.0017177290282235356,0.020599282755775584,0.005049882717434877,Parking,5301.22,1281.2248046303193,-565.041062413539,Parking
0.0007216393897850254,0.005211549939777914,0.0012608058495843252,Parking,5301.32,977.836387132326,-631.3431842456367,Parking
0.002000426332558683,0.021691852380319503,0.005327522729531651,Parking,5301.42,1073.0913288252775,-741.5157172285561,Parking
0.0014980093510599283,0.01283333216465226,0.003140365270713866,Parking,5301.53,1348.307828353748,-890.7543899374787,Parking
0.001451250319046267,0.012093205917618331,0.0029652406025417973,Parking,5301.63,1143.7755621013716,-1048.4387745827999,Parking
